역사명,위도,경도
가능,37.748577,127.044213
가락시장,37.492566499999995,127.1180775
가산디지털단지,37.4809595,126.8826185
가양,37.561391,126.854456
가오리,37.641537,127.016789
가재울,37.484192,126.683673
가정,37.524649,126.675539
가정중앙시장,37.517054,126.676672
가좌,37.568491,126.915487
가천대,37.448605,127.126697
가평,37.814536,127.510739
간석,37.464737,126.694181
간석오거리,37.467048,126.707938
갈매,37.634118,127.114757
갈산,37.517268,126.721514
강남,37.4974135,127.028008
강남구청,37.517324,127.041203
강남대,37.270161,127.126033
강동,37.535804,127.132481
강동구청,37.530341,127.120508
강매,37.612314,126.843223
강변,37.535095,127.094681
강일,37.55749,127.17593
강촌,37.805723,127.634146
개롱,37.498079,127.13482
개봉,37.494594,126.85968
개포동,37.489116,127.06614
개화,37.578608,126.798153
개화산,37.572399,126.806171
거여,37.493105,127.14415
건대입구,37.5405795,127.070101
걸포북변,37.63165,126.705975
검단사거리,37.60185,126.657108
검단오류,37.594877,126.627178
검바위,37.561405,126.677566
검암,37.568878999999995,126.674847
경기광주,37.399907,127.25263
경기도청북부청사,37.75059,127.071495
경마공원,37.443885,127.007888
경복궁,37.575762,126.97353
경인교대입구,37.538157,126.722597
경전철의정부,37.737202,127.043257
경찰병원,37.495918,127.12454
계산,37.543238,126.728128
계양,37.5715555,126.73604
고덕,37.555004,127.154151
고려대,37.590508,127.036296
고색,37.24963,126.980248
고속터미널,37.504746,127.00479566666667
고잔,37.316784,126.823144
고진,37.24484,127.214251
고촌,37.601243,126.770345
곡산,37.645676,126.801762
곤제,37.750471,127.083715
곤지암,37.351315,127.34674
공덕,37.5431416,126.9518544
공릉,37.625742,127.072896
공항시장,37.563726,126.810678
공항화물청사,37.459041,126.477516
과천,37.433021,126.996568
관악,37.419232,126.908706
관악산,37.4691018,126.9450639
광교,37.30211,127.044483
광교중앙,37.288617,127.051478
광나루,37.545303,127.10357
광명,37.416182,126.884466
광명사거리,37.479252,126.854876
광운대,37.623632,127.061835
광화문,37.571525,126.97717
광흥창,37.547456,126.931993
교대,37.493493,127.0142265
구래,37.645384,126.628633
구로,37.503039,126.881966
구로디지털단지,37.485266,126.901401
구룡,37.486839,127.058856
구리,37.603006,127.14228449999999
구반포,37.501364,126.987332
구산,37.611377,126.91727
구성,37.299049499999995,127.10477700000001
구의,37.537077,127.085916
구일,37.496756,126.870793
구파발,37.636763,126.918821
국수,37.516169,127.399367
국제업무지구,37.399907,126.630347
국회의사당,37.528105,126.917874
군자,37.5569925,127.0794575
군포,37.35356,126.948462
굴봉산,37.832067,127.557695
굴포천,37.5069035,126.73181
굽은다리,37.545477,127.142853
귤현,37.566379,126.742654
금곡,37.637382,127.207853
금릉,37.751322,126.765347
금정,37.372215,126.943423
금천구청,37.455626,126.89398
금촌,37.766217,126.774644
금호,37.548034,127.015872
기흥,37.275255,127.1162875
길동,37.537801,127.140004
